Carcinoma,Neoplasms,squamous cell Neoplasm,Liver Cirrhosis Alcoholic,Autistic Disorder,Obesity,Peripheral Neuropathy,IGA Glomerulonephritis,Stomach Neoplasms,Prostatic Neoplasms,Lymphoma,Adenoid cystic,Diabates mellitue,Rheumatoid Arthritis,Ovarian Diseases,Schizophrenia,Heart valve disease,Salivary Gland neoplasam,Brain neoplasms,Kidney Failure,prognosis
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p6651
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p6659
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p6664
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,p672
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,p7153
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p743
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p7994
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p833
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p8129
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p81831
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p8243
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,p8332
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p84159
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p8823
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p9223
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p93986
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p9454
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p97
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p9863
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p9874
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,p999
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,p567
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,p129
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,p1397
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p184
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p185
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p23462
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p23493
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,p328
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p333
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p334
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p3714
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p384
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,p478
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p4854
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,p4855
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,p7422
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p1317
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p1565
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p234
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p364
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p3458
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,p3553
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,p571
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p6622
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p664
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,p7124
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,p126
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,p146
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,p1735
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,p144
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,p21
1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,p2261
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p259
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p26986
1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,p2876
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p317
1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p3274
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p344
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p3486
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p4297
1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,p5328
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p7421
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p84181
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,p84159
1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p8836
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p9611
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p12724265
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p144
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,p195
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,p11214
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,p11236
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p114788
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p12892
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p1265
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p1381
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,p141
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p142685
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p144132
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p158
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p159
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p158584
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p1938
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p21163
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p234
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p21
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,p216
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p2337
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p2342
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p2321
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p23224
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p23532
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p238
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,p2475
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p25844
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p25953
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p275
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p28392
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p28413
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p2886
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p2944
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p295
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,p2952
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p335
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p37
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p3313
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p3315
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,p332
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p3329
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p34393
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p353
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p3566
